page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Donald J. Trump,417999,9948.5,Pennsylvania,"I'm coming to Lancaster, PA!

Join me on Sunday, October 20th — at 5:00PM. Be part of a HISTORIC event.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,Join me in Lancaster!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",42.01628386
Donald J. Trump,4517496.5,107590,Pennsylvania,"ATTENTION PENNSYLVANIA: I’m humbly asking you to stop what you’re doing and check your voter registration status.

Only a handful of votes will decide this election.

We can stop inflation, secure our borders, lower taxes, and make America Great Again!

But if you sit on the sidelines this election, I hope you’re ready for President Harris.

We won’t have a country if she wins.

Click the link below now before it's too late.

Register to vote now and MAKE AMERICA GREAT AGAIN!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",41.98807045
Donald J. Trump,226999,5445.5,Arizona,"TOMORROW: Join me in Glendale!

I'll see you Friday, August 23rd — at 4:00PM. Be part of a HISTORIC rally.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,Join me in Glendale!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",41.68561197
Donald J. Trump,255999,6147.5,Wisconsin,"Join JD Vance in Eau Claire on Tuesday, September 17th — at 4:30PM. Be part of a HISTORIC event.

Get your tickets before they’re gone! 🇺🇸",event.donaldjtrump.com,"Join Team Trump in Eau Claire, WI!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",41.64278162
Donald J. Trump,512498.5,12397,Wisconsin,"I'm coming to Milwaukee!

Join me on Friday, November 1st. Be part of a HISTORIC event.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,Join me in Milwaukee!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",41.34052593
Donald J. Trump,240492.5,5840.5,Georgia,"Will you help MAKE AMERICA GREAT AGAIN?

I need YOUR HELP to win the GREAT STATE OF GEORGIA! 

VOTE EARLY TODAY!",vote.donaldjtrump.com,,LET’S MAGA!!!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",41.1766972
Donald J. Trump,81497.5,1993,Arizona,"Join Chad Wolf, Former Acting Secretary of Homeland Security and Monica Crowley in Maricopa, AZ on Friday, September 20th — at 6:00PM. Be part of a HISTORIC event.

Get your tickets before they’re gone! 🇺🇸",event.donaldjtrump.com,"Join Team Trump in Maricopa, AZ!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",40.89187155
Donald J. Trump,1601994,39386,Arizona,"President Trump is going ALL-IN to win ARIZONA, but we have to SWAMP THE VOTE. Get ready to Vote Early TODAY!",vote.donaldjtrump.com,Arizona Voting Information: Make sure you have all the information you need to make this election too big to rig.,IT'S TIME TO VOTE EARLY,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",40.67419895
Donald J. Trump,132995,3293,Pennsylvania,"Join Governor Jim Justice and Babydog in Clarion, on Tuesday, October 29th — at 6:00PM. Be part of a HISTORIC event.",event.donaldjtrump.com,"Join Team Trump in Clarion, PA!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",40.38718494
Donald J. Trump,14000,348.5,Michigan,"GRAND RAPIDS: Join me and my Vice Presidential nominee, JD Vance for our first rally after officially accepting the Republican Nomination for President and Vice President!

We'll see you on Saturday, July 20th — at 5:00PM. Be part of a HISTORIC rally.

Get your tickets before they’re gone – and we’ll see you soon! 🇺🇸",event.donaldjtrump.com,"Join me in Doral, FL!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",40.17216643
Donald J. Trump,115486.5,2881,Arizona,"ARIZONA! ARIZONA! ARIZONA! 

I NEED your vote! Request your ballot NOW!",vote.donaldjtrump.com,Arizona Voting Information: Make sure you have all the information you need to make this election too big to rig.,Request Your Ballot,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",40.08556057
Donald J. Trump,45999,1148.5,Georgia,"Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!","register.donaldjtrump.com,register.donaldjtrump.com,register.donaldjtrump.com,register.donaldjtrump.com,register.donaldjtrump.com,register.donaldjtrump.com,register.donaldjtrump.com","Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!,Make sure you are registered to VOTE!","VOTE to Make America Great Again!,VOTE to Make America Great Again!,VOTE to Make America Great Again!,VOTE to Make America Great Again!,VOTE to Make America Great Again!,VOTE to Make America Great Again!,VOTE to Make America Great Again!","DONALD J. TRUMP FOR PRESIDENT 2024, INC.",40.05137135
Donald J. Trump,540000,13500,Michigan,"Message from my son, Donald Trump Jr:

My dad needs EVERY SINGLE ONE of his supporters in Michigan to register to vote.

This election will come down to a handful of votes, and we won’t win without your support.

Please take just 2 minutes to check your registration below.

Thank you!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",40
Donald J. Trump,97497.5,2442.5,Georgia,"Lara Trump is coming to South Fulton!

Join my daughter-in-law and RNC Co-Chair Lara Trump on Thursday, October 24th at 6:00PM. Be part of a HISTORIC event.

Get your tickets before they’re gone! 🇺🇸",event.donaldjtrump.com,"Join Lara Trump in South Fulton, GA!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",39.91709314
Donald J. Trump,3710000,94300,Michigan,"Democrats will do anything to RIG THE VOTE on Election Day.

I need ALL PATRIOTS to REQUEST THEIR BALLOT before its too late!",vote.donaldjtrump.com,Make MICHIGAN Great Again!,ALL PATRIOTS MUST VOTE! REQUEST NOW!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",39.34252386
Donald J. Trump,55000,1400,Pennsylvania,"President Trump is coming to Erie, Pennsylvania! Sign up now to secure your 𝙁𝙍𝙀𝙀 tickets.",event.donaldjtrump.com,Join President Trump in PA!,Get Your 𝙁𝙍𝙀𝙀 Tickets,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,39.28571429
Donald J. Trump,784000,20100,Georgia,"GEORGIA! IT ALL COMES DOWN TO THIS!

Make a plan, get to the polls, and VOTE for someone who will NEVER stop fighting for YOU. 🫵

With your help we are going to MAKE AMERICA GREAT AGAIN!

⬇️ Find your polling place NOW ⬇️",vote.donaldjtrump.com,"Let's win, Georgia! Make a plan to vote!",GET OUT AND VOTE!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",39.00497512
Donald J. Trump,105000,2698,Wisconsin,"Join Kristi Noem in Eau Claire, on Monday, October 28th — at 6:00PM. 

Be part of a HISTORIC event.",event.donaldjtrump.com,Join Team Trump in Eau Claire!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",38.91771683
Donald J. Trump,230000,6000,Arizona,"ATTENTION ARIZONA: I’m humbly asking you to stop what you’re doing and check your voter registration status.

Only a handful of votes will decide this election.

We can stop inflation, secure our borders, lower taxes, and make America Great Again!

Click the link below now before it's too late.

Register to vote now and MAKE AMERICA GREAT AGAIN!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",38.33333333
Donald J. Trump,28498.5,747.5,Wisconsin,"Will you help MAKE AMERICA GREAT AGAIN??

I need YOUR HELP to win the GREAT STATE OF WISCONSIN! 

Request your ballot and VOTE TRUMP TODAY!",vote.donaldjtrump.com,,LET’S MAGA!!!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",38.12508361
Donald J. Trump,465499.5,12249.5,Michigan,"WOW! 1000s+ of True Trump Patriots 🇺🇸🇺🇸 have requested their ballot in Michigan.

Have YOU??? 🫵

Get your ballot TODAY.",vote.donaldjtrump.com,Pres. Trump asked about you!,MI: Requesting a Ballot Takes 2 MINUTES!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",38.00151027
Donald J. Trump,142000,3748.5,Wisconsin,"Team Trump is coming to Madison!

Join Robert F. Kennedy Jr. and Tulsi Gabbard on Tuesday, October 29th — at 6:00PM. 

Be part of a HISTORIC event!",event.donaldjtrump.com,"Join Team Trump in Madison, WI!!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",37.88181939
Donald J. Trump,126000,3349.5,Michigan,"HAPPENING TODAY: Join Tulsi Gabbard & Robert F. Kennedy Jr. in Dearborn, MI on September 28th — at 6:00PM. Be part of a HISTORIC event.

Get your tickets before they’re gone! 🇺🇸",event.donaldjtrump.com,Join Team Trump in Dearborn!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",37.61755486
Donald J. Trump,540000,14500,Pennsylvania,"Message from my son, Donald Trump Jr:

My dad needs EVERY SINGLE ONE of his supporters in Pennsylvania to register to vote.

This election will come down to a handful of votes, and we won’t win without your support.

Please take just 2 minutes to check your registration below.

Thank you!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",37.24137931
Donald J. Trump,565000,15200,Michigan,"Message from TULSI GABBARD:

If you’re from MICHIGAN, please click the link below to check your voter registration.

Your VOICE and your VOTE matter, and President Trump won’t win WITHOUT YOU voting in this election.

Please register NOW. We need you now more than ever.",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",37.17105263
Donald J. Trump,453000,12200,Arizona,"ARIZONA: I'm coming to Prescott Valley!

Join me on Sunday, October 13th — at 2:00PM. Be part of a HISTORIC rally.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,"Join me in Prescott Valley, AZ!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",37.13114754
Donald J. Trump,173981,4724.5,Wisconsin,"WISCONSIN! WISCONSIN! WISCONSIN! 

I NEED your vote! Request your ballot NOW!",vote.donaldjtrump.com,Wisconsin Voting Information: Make sure you have all the information you need to make this election too big to rig.,Request Your Ballot,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",36.82527252
Donald J. Trump,41998,1147.5,Pennsylvania,"DON’T LET COMRADE KAMALA AND THE AMERICA LAST DEMOCRATS DESTROY OUR COUNTRY!

LET’S SAVE AMERICA! CAST YOUR MAIL-IN BALLOT IN PERSON TODAY!",vote.donaldjtrump.com,MAKE PENNSYLVANIA GREAT AGAIN!!!,STOP KAMALA,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",36.59956427
Donald J. Trump,78000,2149.5,Arizona,"𝗔𝗿𝗶𝘇𝗼𝗻𝗮: 𝗝𝗼𝗶𝗻 𝗺𝗲 𝗶𝗻 𝗚𝗹𝗲𝗻𝗱𝗮𝗹𝗲!

I'll see you Friday, August 23rd — at 4:00PM. Be part of a HISTORIC rally.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,Join me in Glendale!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",36.28750872
Donald J. Trump,17998,496,Pennsylvania,"Team Trump is coming to Erie!

Join Governor Jim Justice and Babydog on Monday, October 21st at 6:00PM. Be part of a HISTORIC event.

Get your tickets before they’re gone! 🇺🇸",event.donaldjtrump.com,"Join Team Trump in Erie, PA",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",36.28629032
Donald J. Trump,12498.5,346.5,Wisconsin,"Claim your FREE TICKETS to join me in Waukesha, WI on May 1st! 🇺🇸

Be part of a HISTORIC Rally!

Get your tickets before they’re gone – and I’ll see you soon!",event.donaldjtrump.com,Join President Trump in WI!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",36.07070707
Donald J. Trump,3691489.5,102983,Michigan,"ATTENTION MICHIGAN: I’m humbly asking you to stop what you’re doing and check your voter registration status.

Only a handful of votes will decide this election.

We can stop inflation, secure our borders, lower taxes, and make America Great Again!

But if you sit on the sidelines this election, I hope you’re ready for President Harris.

We won’t have a country if she wins.

Click the link below now before it's too late.

Register to vote now and MAKE AMERICA GREAT AGAIN!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",35.84562015
Donald J. Trump,91998,2598,Wisconsin,"WISCONSIN! WISCONSIN! WISCONSIN!

President Trump was asking about YOU!

If you haven't requested your ballot, do so HERE.",vote.donaldjtrump.com,Wisconsin Voting Information: Make sure you have all the information you need to make this election too big to rig.,REQUEST YOUR BALLOT FOR WISCONSIN,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",35.41108545
Donald J. Trump,3499.5,99,Pennsylvania,Make sure you are registered to VOTE!,"register.donaldjtrump.com/,register.donaldjtrump.com/,register.donaldjtrump.com/,register.donaldjtrump.com/,register.donaldjtrump.com/,register.donaldjtrump.com/,register.donaldjtrump.com/",Make sure you are registered to vote!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",35.34848485
Donald J. Trump,13998,397,Nevada,"NEVADA: I'm coming to Las Vegas!

Join me on Thursday, September 13th — at 7:00PM. Be part of a HISTORIC rally.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,Join me in Las Vegas!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",35.25944584
Donald J. Trump,57999,1648.5,Pennsylvania,"Join Kimberly Guilfoyle, Joni Ernst, and more of Team Trump on Friday, October 25th — at 6:00PM. Be part of a HISTORIC event.",event.donaldjtrump.com,"Join Team Trump in Newport, PA!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",35.18289354
Donald J. Trump,309000,8800,Pennsylvania,"I'm coming to Erie, PA!

Join me on Sunday, September 29th — at 2:00PM. Be part of a HISTORIC rally.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,Join me in Erie!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",35.11363636
Donald J. Trump,112489.5,3231.5,Pennsylvania,"ATTENTION PENNSYLVANIA: I’m humbly asking you to stop what you’re doing and check your voter registration status.

Only a handful of votes will decide this election.

We can stop inflation, secure our borders, lower taxes, and make America Great Again!

But if you sit on the sidelines this election, I hope you’re ready for President Harris.

We won’t have a country if she wins.

Click the link below now before it's too late.

Register to vote now and MAKE AMERICA GREAT AGAIN!",register.donaldjtrump.com,Make sure you are registered to vote!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34.81030481
Donald J. Trump,212487.5,6135.5,Georgia,"GEORGIA! GEORGIA! GEORGIA! 

I NEED your vote! Request your ballot NOW!",vote.donaldjtrump.com,Georgia Voting Information: Make sure you have all the information you need to make this election too big to rig.,Request Your Ballot,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34.63246679
Donald J. Trump,75999,2195,Arizona,"Join my daughter-in-law in Phoenix, on Monday, October 28th — at 5:30PM. Be part of a HISTORIC event.",event.donaldjtrump.com,Join Team Trump in Phoenix!!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",34.62369021
Donald J. Trump,45000,1300,Pennsylvania,"Join me at our upcoming event in Erie, Pennsylvania! 

Saturday, July 29th, 2023 at 6 PM

Sign up now to secure your 𝙁𝙍𝙀𝙀 tickets.",event.donaldjtrump.com,Join President Trump in PA!,Get Your 𝙁𝙍𝙀𝙀 Tickets,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,34.61538462
Donald J. Trump,450000,13000,Wisconsin,"ATTENTION WISCONSIN: Make sure you are registered to VOTE.

Check your registration status by clicking here.

Make America Great Again!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34.61538462
Donald J. Trump,791487.5,22881,Arizona,"Phone? Check! Keys? Check! Trump Ballot???

ARIZONA: SECURE YOUR TRUMP VOTE TODAY!

Return your ballot NOW!",vote.donaldjtrump.com,Urgent voter request,RETURN YOUR BALLOT,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34.59147327
Donald J. Trump,140000,4048.5,Arizona,"Join Senator JD Vance in Tucson, AZ on Wednesday, October 9th — at 12:00PM. Be part of a HISTORIC rally.

Get your tickets before they’re gone! 🇺🇸",event.donaldjtrump.com,Join Team Trump in Tucson!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",34.5807089
Donald J. Trump,271000,7849.5,Arizona,"ARIZONA: I'm coming to Tucson!

Join me on Thursday, September 12th — at 2:00PM. Be part of a HISTORIC event.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,Join me in Tucson!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",34.52449201
Donald J. Trump,675999,19599,Pennsylvania,"I'm coming to Reading!

Join me on Monday, November 4th. Be part of a HISTORIC event.

Get your tickets before they’re gone – and I’ll see you soon! 🇺🇸",event.donaldjtrump.com,"Join me in Reading, PA!",Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",34.49150467
Donald J. Trump,88993,2586,Michigan,"MICHIGAN: I’m humbly asking you to stop what you’re doing and check your voter registration status.

Only a handful of votes will decide this election.

We can stop inflation, secure our borders, lower taxes, and make America Great Again!

But if you sit on the sidelines this election, I hope you’re ready for President Harris.

We won’t have a country if she wins.

Click the link below now before it's too late.

Register to vote now and MAKE AMERICA GREAT AGAIN!",register.donaldjtrump.com,President Trump will NEVER SURRENDER in his fight to SAVE AMERICA. But he can’t do it alone. It’s going to take all of us to win in November!,Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34.41337974
Donald J. Trump,2558991,74482,Wisconsin,"ATTENTION WISCONSIN: I’m humbly asking you to stop what you’re doing and check your voter registration status.

Only a handful of votes will decide this election.

We can stop inflation, secure our borders, lower taxes, and make America Great Again!

But if you sit on the sidelines this election, I hope you’re ready for President Harris.

We won’t have a country if she wins.

Click the link below now before it's too late.

Register to vote now and MAKE AMERICA GREAT AGAIN!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34.35717355
Donald J. Trump,16999,495,Georgia,"I’m coming to Rome, GA!

Claim your FREE tickets now 🎟️",event.donaldjtrump.com,Join President Trump in GA!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34.34141414
Donald J. Trump,85000,2500,Georgia,"GEORGIA: Did you need to relocate after Hurricane Helene? 

You don't need to return to your polling place to vote for Trump!

Request a Ballot TODAY and have it sent to you:",vote.donaldjtrump.com,You have options to VOTE FOR TRUMP!,GA! Helene Voting Update,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",34
Donald J. Trump,9999,297,Michigan,"Join me in Waterford Township, MI!

Saturday, February 17th, 2024.

Sign up now to secure your FREE tickets.",event.donaldjtrump.com,Join President Trump in MI!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",33.66666667
Donald J. Trump,1004000,30049.5,Michigan,"𝗗𝗼𝗻'𝘁 𝗯𝗲 𝘁𝗵𝗲 𝗼𝗻𝗹y 𝗼𝗻𝗲 𝘄𝗵𝗼 𝗱𝗶𝗱𝗻'𝘁 𝘃𝗼𝘁𝗲. 🚨 MCHIGAN - We CANNOT let Democrats STEAL THIS ELECTION! 🚨Don't let me down!,𝗗𝗼𝗻'𝘁 𝗯𝗲 𝘁𝗵𝗲 𝗼𝗻𝗹y 𝗼𝗻𝗲 𝘄𝗵𝗼 𝗱𝗶𝗱𝗻'𝘁 𝘃𝗼𝘁𝗲. 🚨 MCHIGAN - We CANNOT let Democrats STEAL THIS ELECTION! 🚨Don't let me down!",vote.donaldjtrump.com,"Small action, HUGE impact!,Small action, HUGE impact!","REQUEST YOUR OFFICIAL MICHIGAN BALLOT,REQUEST YOUR OFFICIAL MICHIGAN BALLOT","DONALD J. TRUMP FOR PRESIDENT 2024, INC.",33.41153763
Donald J. Trump,150000,4500,Wisconsin,"Message from my son, Donald Trump Jr.:

My dad needs EVERY SINGLE ONE of his supporters in Wisconsin to register to vote.

This election will come down to a handful of votes, and we won’t win without your support.

Please take just 2 minutes to check your registration below.

Thank you!",register.donaldjtrump.com,Make sure you are registered to vote!!,VOTE to Make America Great Again!,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",33.33333333
